1000000.00 ,16.00 ,1000000.00 ,1000000.00 ,10.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.00 ,1000000.00 ,4.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000.00 ,4.00 ,1000000.00 ,6.00 ,1000000.00 ,2.00 ,1000000.00 ,1000000.00 ,1000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000.00 ,1000000.00 ,6.00 ,1000000.00 ,16.00 ,1000000.00 ,2.00 ,1000000.00 ,1000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.00 ,1000000.00 ,1000000.00 ,16.00 ,1000000.00 ,1000000.00 ,1000000.00 ,2.00 ,1000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000.00 ,1000000.00 ,2.00 ,1000000.00 ,1000000.00 ,1000000.00 ,6.00 ,1000000.00 ,1000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000.00 ,1000000.00 ,1000000.00 ,2.00 ,1000000.00 ,6.00 ,1000000.00 ,1000000.00 ,2.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,2.00 ,1000000.00 ,1000000.00 ,1000000.00 ,18.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,2.00 ,18.00 ,1000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
